"time","temperature_2m_max","temperature_2m_min","precipitation_sum"
"2020-01-01",6.8,-2,0.4
"2020-01-02",7.2,-2.7,0.9
"2020-01-03",6.2,-3.2,0
"2020-01-04",4,-5.6,0.4
"2020-01-05",5.2,-6.6,0
"2020-01-06",3.9,-0.8,16.5
"2020-01-07",1.8,-1.2,25.3
"2020-01-08",-0.4,-6.1,23.9
"2020-01-09",2,-12.4,0
"2020-01-10",5.5,-12,0
"2020-01-11",8.7,-5.6,0
"2020-01-12",8.8,2,1.7
"2020-01-13",8.3,-0.2,19.3
"2020-01-14",7.4,-1.3,0
"2020-01-15",7.2,-3.4,3.4
"2020-01-16",6.1,-2.4,6.1
"2020-01-17",5.4,-2.2,16
"2020-01-18",3.5,-4.7,1.9
"2020-01-19",5.8,-6.7,0
"2020-01-20",5.5,-6,0.1
"2020-01-21",4.7,-3.5,4.9
"2020-01-22",6.9,-5.7,0
"2020-01-23",5.9,-5.4,0
"2020-01-24",10.8,-5.1,0
"2020-01-25",9.4,-1.4,0
"2020-01-26",8.6,-5.9,0.1
"2020-01-27",6.6,-5.6,4.3
"2020-01-28",4.1,-1.1,13
"2020-01-29",3.5,-6.2,15.7
"2020-01-30",4.3,-9.8,0
"2020-01-31",2.9,-8.7,0.9
"2020-02-01",3.5,-6.3,0.2
"2020-02-02",7.7,-7.5,0
"2020-02-03",8.3,-5.8,0
"2020-02-04",5.9,-4.9,1.6
"2020-02-05",7.7,-5.1,0.1
"2020-02-06",6.1,-4.7,2
"2020-02-07",5.4,-5,0.4
"2020-02-08",8.2,-7,0
"2020-02-09",9.6,-3.2,0
"2020-02-10",10.3,-2.2,0
"2020-02-11",11.5,-1.5,0
"2020-02-12",13.5,0.4,0
"2020-02-13",16,3.6,0.2
"2020-02-14",14.3,1.8,0
"2020-02-15",15,-0.4,0
"2020-02-16",14.4,1.1,0
"2020-02-17",13.1,0.6,0
"2020-02-18",14.5,0.2,0
"2020-02-19",10.2,2.1,0
"2020-02-20",13,2,0.1
"2020-02-21",8.5,-1.4,13.4
"2020-02-22",11.1,-1.7,0.5
"2020-02-23",10,0.7,1.8
"2020-02-24",11.2,-0.5,0.7
"2020-02-25",9.4,-0.2,3.6
"2020-02-26",11.2,-1.7,0
"2020-02-27",12.1,-1.3,0
"2020-02-28",13.9,1,3.8
"2020-02-29",11.2,1.3,1.5
"2020-03-01",10.6,-0.3,0.3
"2020-03-02",11.7,1.4,0.7
"2020-03-03",11.7,2.2,1.3
"2020-03-04",11.1,-0.6,3.6
"2020-03-05",7.6,0.8,4
"2020-03-06",6.2,0.2,17.7
"2020-03-07",4.8,-1.4,18.6
"2020-03-08",9.8,-3,0.5
"2020-03-09",14,-2.1,0
"2020-03-10",13.3,-2.5,2
"2020-03-11",9.2,0.1,10.7
"2020-03-12",10.1,2,12.6
"2020-03-13",9.2,1.4,16.8
"2020-03-14",8,-0.2,11.1
"2020-03-15",9.7,-1.6,1.4
"2020-03-16",12.6,-0.9,0.1
"2020-03-17",13.6,2,0.1
"2020-03-18",12.9,-0.3,0.2
"2020-03-19",12.8,2.1,3.5
"2020-03-20",13.1,2.9,0.5
"2020-03-21",13.8,4.8,4.7
"2020-03-22",12.6,2,1.7
"2020-03-23",15.1,1.5,0
"2020-03-24",11.8,4.7,9
"2020-03-25",15.1,3.6,0
"2020-03-26",14.8,3.1,0
"2020-03-27",10.8,6.2,21
"2020-03-28",13.5,3.3,11.5
"2020-03-29",13.4,4.3,0.9
"2020-03-30",15.9,1.7,0
"2020-03-31",16.5,3.2,4
"2020-04-01",14.6,3.6,1.8
"2020-04-02",12,4.4,1.4
"2020-04-03",14.7,0.3,0
"2020-04-04",15.7,2.7,0
"2020-04-05",16.1,4.1,0
"2020-04-06",16.2,5.5,0.2
"2020-04-07",15.5,3.9,7.9
"2020-04-08",12.8,2.8,4.7
"2020-04-09",16.7,4.2,0
"2020-04-10",16.5,6,1.5
"2020-04-11",18.4,5.8,0
"2020-04-12",20.1,7.5,0
"2020-04-13",21.2,8.3,0
"2020-04-14",19.7,9.1,2.8
"2020-04-15",18.5,9.5,1.7
"2020-04-16",19.5,9.4,0.3
"2020-04-17",14.8,7.3,3.7
"2020-04-18",15.3,5.6,7.2
"2020-04-19",15.5,5.5,5.3
"2020-04-20",16.2,5.3,7.5
"2020-04-21",13.2,5.3,8.9
"2020-04-22",14.6,5.4,3.5
"2020-04-23",17.2,6.5,0.1
"2020-04-24",17.6,6.8,0.9
"2020-04-25",17.8,7.5,1
"2020-04-26",15.9,8.3,12.3
"2020-04-27",14.1,7.9,9.6
"2020-04-28",15.8,9.6,7.1
"2020-04-29",17.2,8.6,2.2
"2020-04-30",17.6,6.5,3.1
"2020-05-01",20.5,8.9,0
"2020-05-02",19.8,7.7,1.4
"2020-05-03",19.3,9.2,2.2
"2020-05-04",17.9,8.4,6.7
"2020-05-05",17.8,9,0.8
"2020-05-06",17.5,7.4,3.6
"2020-05-07",17.5,5.8,1.5
"2020-05-08",19.9,8.3,0
"2020-05-09",21,10.3,3.5
"2020-05-10",20.9,8.9,1.3
"2020-05-11",19.2,7.8,0.7
"2020-05-12",19.5,8.1,2.5
"2020-05-13",17.9,11,0.5
"2020-05-14",19.2,9.9,6.1
"2020-05-15",20.1,9.7,0.1
"2020-05-16",20.9,11.2,0.1
"2020-05-17",21.5,11.4,0
"2020-05-18",20.3,11.7,1.9
"2020-05-19",20.4,7.2,0
"2020-05-20",22.9,10.4,0
"2020-05-21",23.7,11.8,0
"2020-05-22",24.7,12.9,0
"2020-05-23",24.1,12.7,1.6
"2020-05-24",23.4,12.5,0
"2020-05-25",24.2,14,0
"2020-05-26",24.6,14.7,0.1
"2020-05-27",23.2,13.2,4
"2020-05-28",21.8,11.6,3.2
"2020-05-29",19.1,11.5,5.6
"2020-05-30",18.9,9.7,1.8
"2020-05-31",16.7,10.8,9.6
"2020-06-01",16.5,10,9.9
"2020-06-02",18.8,7,1.5
"2020-06-03",19.3,10.4,0.6
"2020-06-04",19.4,10.4,2.6
"2020-06-05",17.7,10.6,13.2
"2020-06-06",18.4,10.7,1.6
"2020-06-07",18.6,12.2,10.6
"2020-06-08",20.8,13.4,1.9
"2020-06-09",21.7,13.2,1
"2020-06-10",21.9,13.3,0.2
"2020-06-11",23.3,11.7,0
"2020-06-12",23.5,12.6,0
"2020-06-13",23,14.8,0.4
"2020-06-14",24,12.4,0
"2020-06-15",23.5,14.7,0
"2020-06-16",23.7,14.1,0
"2020-06-17",22,15.6,3.2
"2020-06-18",23.5,13.9,0.6
"2020-06-19",24.9,12.8,0.5
"2020-06-20",23.6,10.9,2.2
"2020-06-21",21.9,13.9,3.7
"2020-06-22",22,12.2,6
"2020-06-23",21.7,13.5,4.4
"2020-06-24",21.2,14.4,9.8
"2020-06-25",22.6,12.7,0.5
"2020-06-26",21.8,12.2,0.8
"2020-06-27",22.6,13.3,0.2
"2020-06-28",24.2,12.3,0
"2020-06-29",24.8,15.3,1.6
"2020-06-30",21.9,15.5,4
"2020-07-01",21.8,14.9,2.3
"2020-07-02",23.1,15.9,1.8
"2020-07-03",23,14.8,2.9
"2020-07-04",22.2,15.6,7
"2020-07-05",23.3,14.1,2.3
"2020-07-06",22.3,13,4.5
"2020-07-07",21.6,13.2,10.2
"2020-07-08",19.9,16.6,8.4
"2020-07-09",21.9,15.3,3.8
"2020-07-10",23,13.9,2.1
"2020-07-11",21.3,15.2,2.1
"2020-07-12",23.1,13.6,3.2
"2020-07-13",23.5,11.6,0.2
"2020-07-14",23,12.5,0.9
"2020-07-15",21.5,14.1,5.6
"2020-07-16",21.3,14.4,5.2
"2020-07-17",21.6,15,7.2
"2020-07-18",22.8,15,3.5
"2020-07-19",23,15.7,2.3
"2020-07-20",21.1,14.1,6.3
"2020-07-21",16.6,12.9,18
"2020-07-22",19.8,11.4,0.6
"2020-07-23",20.7,10.3,3.2
"2020-07-24",21.3,13.5,3
"2020-07-25",20.1,14.1,4
"2020-07-26",21.6,14.7,7.7
"2020-07-27",21.9,13.7,5.6
"2020-07-28",21.5,14.7,13.4
"2020-07-29",19.8,16.1,22
"2020-07-30",20.6,14.8,8
"2020-07-31",20.7,14.3,13.6
"2020-08-01",21.8,13.7,2.3
"2020-08-02",22,14.4,2.6
"2020-08-03",22.9,15.2,10.3
"2020-08-04",23.6,12.7,0.3
"2020-08-05",23.6,16.5,2.6
"2020-08-06",22.4,16.4,1.5
"2020-08-07",20.1,16,8.2
"2020-08-08",23.2,15.2,2.7
"2020-08-09",21.4,16.1,7.4
"2020-08-10",21,15.7,6.2
"2020-08-11",20.8,15.1,5.4
