"time","temperature_2m_max","temperature_2m_min","precipitation_sum"
"2020-01-01",-0.4,-4.5,0
"2020-01-02",-1.2,-7.9,3.5
"2020-01-03",-1.8,-6.6,4.3
"2020-01-04",-2,-5,8.1
"2020-01-05",-3.5,-8.3,0
"2020-01-06",-3.3,-7.4,6.8
"2020-01-07",-2.2,-4.8,11.6
"2020-01-08",-1,-5.3,2
"2020-01-09",-3.3,-7.9,0
"2020-01-10",-7.4,-13.2,0
"2020-01-11",-4.3,-13.9,0
"2020-01-12",-1.2,-6.7,13.7
"2020-01-13",2.4,-1.1,56
"2020-01-14",3.3,-2.2,0.1
"2020-01-15",-1.1,-3.3,0.3
"2020-01-16",-1,-5.1,0
"2020-01-17",-3,-6.4,0
"2020-01-18",-1.6,-8,1
"2020-01-19",-2.8,-9.7,0
"2020-01-20",-2.6,-8.5,0
"2020-01-21",-3.1,-6,10.3
"2020-01-22",-2.5,-6.5,6.1
"2020-01-23",-2,-7.3,0
"2020-01-24",-3.2,-6.4,0
"2020-01-25",-0.9,-7.3,2.7
"2020-01-26",-0.8,-5.1,4.4
"2020-01-27",0.8,-7.2,0.9
"2020-01-28",-0.4,-3.9,10.7
"2020-01-29",0.4,-4.5,9.4
"2020-01-30",-1.2,-6.9,0
"2020-01-31",-3,-6.9,0.2
"2020-02-01",-1.3,-6.1,0
"2020-02-02",-3.4,-6.8,0
"2020-02-03",-2.8,-9.3,0
"2020-02-04",0,-6.4,0
"2020-02-05",-0.4,-6.4,0
"2020-02-06",1.4,-4,0
"2020-02-07",1.5,-7.8,0
"2020-02-08",0.8,-8.7,0
"2020-02-09",-0.7,-5.2,0
"2020-02-10",0.2,-8.6,0
"2020-02-11",-0.8,-6.7,1.6
"2020-02-12",1.4,-3.7,2.3
"2020-02-13",3.1,0.2,4.2
"2020-02-14",3.8,-1,0
"2020-02-15",1,-3.8,0
"2020-02-16",3.9,-3.2,0
"2020-02-17",4.7,-1.7,0
"2020-02-18",2.5,-1.9,0
"2020-02-19",2.8,-3,5.7
"2020-02-20",1.7,-1.5,5.8
"2020-02-21",2.7,-3.5,0
"2020-02-22",3.4,-1.6,0
"2020-02-23",6.1,-1,0
"2020-02-24",6.2,-0.6,0
"2020-02-25",5.8,-1.8,0
"2020-02-26",8.6,-4.7,0
"2020-02-27",7.8,-0.8,0
"2020-02-28",3.6,-2.1,6
"2020-02-29",2.9,-2.3,5.8
"2020-03-01",8.2,-1.2,0
"2020-03-02",9.6,-0.9,0
"2020-03-03",10,-0.9,0
"2020-03-04",7.3,-3,0
"2020-03-05",5.3,0.8,3.1
"2020-03-06",3,-1.7,11.7
"2020-03-07",1.9,-1.5,12
"2020-03-08",2,-3.3,13.5
"2020-03-09",4.8,-3.5,0
"2020-03-10",8.4,-3,0
"2020-03-11",10.4,-1.7,0.8
"2020-03-12",5.7,-0.1,20.1
"2020-03-13",4.2,-1.1,5.4
"2020-03-14",6,-0.5,5.7
"2020-03-15",10.9,-0.3,0
"2020-03-16",12,-0.8,0
"2020-03-17",14.2,0.1,0
"2020-03-18",14.7,-0.2,0
"2020-03-19",14.6,0,0
"2020-03-20",15.1,-0.3,0
"2020-03-21",8.6,1.6,9.8
"2020-03-22",13.9,1,0.5
"2020-03-23",15.2,-0.4,0
"2020-03-24",6.1,1.5,14
"2020-03-25",11.8,1,0
"2020-03-26",13.5,0.9,3.2
"2020-03-27",6.6,-0.2,34.4
"2020-03-28",4.7,-0.7,11.5
"2020-03-29",11.2,0.2,0
"2020-03-30",11.3,0.6,0.5
"2020-03-31",9,3,11
"2020-04-01",12.9,3.1,5.9
"2020-04-02",13.3,0.8,3.9
"2020-04-03",15,2,0
"2020-04-04",17.3,3.6,0
"2020-04-05",17.7,2.5,5.8
"2020-04-06",14.4,5,1.2
"2020-04-07",12.8,4.4,10.4
"2020-04-08",16.4,2.9,0
"2020-04-09",16.7,3.3,2.4
"2020-04-10",17.5,5.5,2.1
"2020-04-11",20.1,5.7,0
"2020-04-12",21.3,5.5,0
"2020-04-13",20.9,7,0
"2020-04-14",18.1,8.2,6.7
"2020-04-15",13.9,7.8,32.3
"2020-04-16",17.4,5.2,0.1
"2020-04-17",11.6,6.6,13
"2020-04-18",9.8,5.1,13.3
"2020-04-19",15.6,4.9,5.3
"2020-04-20",17.1,6.3,0
"2020-04-21",18.3,6.5,0
"2020-04-22",19.4,7.1,0
"2020-04-23",21.3,6.7,0
"2020-04-24",21.7,8.2,0
"2020-04-25",22,9.4,0
"2020-04-26",22,8.4,0
"2020-04-27",20.2,11.1,1.2
"2020-04-28",20.3,8.5,0.2
"2020-04-29",22.4,7.8,0
"2020-04-30",23.1,9.5,0
"2020-05-01",23.7,8.4,0.2
"2020-05-02",20.2,10.9,18.9
"2020-05-03",18,9.1,5.2
"2020-05-04",18.9,8.6,5
"2020-05-05",17.5,8.9,12.6
"2020-05-06",16.6,7.3,12.5
"2020-05-07",20.4,7.5,0
"2020-05-08",22.4,7.8,0
"2020-05-09",21.8,8.7,1.3
"2020-05-10",20.1,8.4,0.9
"2020-05-11",21.7,9.6,0
"2020-05-12",22,10.2,1.2
"2020-05-13",22,11.1,0.2
"2020-05-14",17.1,9.6,11.2
"2020-05-15",21.1,7.9,3.4
"2020-05-16",21.3,9.9,2.8
"2020-05-17",21.6,9.1,0.1
"2020-05-18",16.6,9.6,1.9
"2020-05-19",19.4,7.9,2.1
"2020-05-20",22.5,7.8,0
"2020-05-21",24.5,8.2,0
"2020-05-22",26.2,8.6,0
"2020-05-23",23.7,11.3,4.8
"2020-05-24",23.9,10.5,0.1
"2020-05-25",25.9,10.4,0
"2020-05-26",27.1,11.3,0
"2020-05-27",27.6,11.2,0
"2020-05-28",23.3,14.4,0.4
"2020-05-29",21.5,13.3,2.6
"2020-05-30",20.2,12.1,8.5
"2020-05-31",18,10.5,13.4
"2020-06-01",20.5,9.1,0.4
"2020-06-02",21.1,10.7,6.4
"2020-06-03",23.1,10.7,0.5
"2020-06-04",23.8,12.9,0.3
"2020-06-05",23.5,12.7,2.1
